source	target	resources
BCL11A	GATA1	TRRUST;CollecTRI;ExTRI2_CollecTRI2;CollecTRI2;TRRUST_DoRothEA;DoRothEA;TRRUST_CollecTRI2;TRRUST_CollecTRI
BCL11A	HBB	Pavlidis_CollecTRI2;CollecTRI;ExTRI2_CollecTRI2;CollecTRI2;Pavlidis2021_CollecTRI
BCL11A	HBG1	Pavlidis_CollecTRI2;Pavlidis2021_CollecTRI;SIGNOR_CollecTRI;GOA_CollecTRI;SIGNOR_CollecTRI2;GOA_CollecTRI2;CollecTRI;ExTRI_CollecTRI;ExTRI2_CollecTRI2;SIGNOR;CollecTRI2;GEREDB_CollecTRI;GEREDB_CollecTRI2
CEBPA	MYB	JASPAR_DoRothEA;CollecTRI;ExTRI2_CollecTRI2;PAZAR_DoRothEA;CollecTRI2;GEREDB_CollecTRI;DoRothEA;GEREDB_CollecTRI2
CEBPA	SPI1	SIGNOR_CollecTRI;DoRothEA-A_CollecTRI2;DoRothEA-A_CollecTRI;TRRUST_DoRothEA;DoRothEA;ARACNe-GTEx_DoRothEA;TRRUST_CollecTRI2;TRRUST;GOA_CollecTRI;CollecTRI;ExTRI2_CollecTRI2;CollecTRI2;SIGNOR_CollecTRI2;GEREDB_CollecTRI2;FANTOM4_DoRothEA;ExTRI_CollecTRI;SIGNOR;GEREDB_CollecTRI;TRRUST_CollecTRI;NTNUcuration_CollecTRI2;GOA_CollecTRI2;PAZAR_DoRothEA;NTNU.Curated_CollecTRI
GATA1	AHSP	HTRI_CollecTRI;NTNUcuration_CollecTRI2;ENCODE-proximal;CollecTRI;ExTRI_CollecTRI;ExTRI2_CollecTRI2;HTRIdb;HTRIdb_DoRothEA;NTNU.Curated_CollecTRI;CollecTRI2;DoRothEA;ARACNe-GTEx_DoRothEA;HTRIdb_CollecTRI2
GATA1	ALAS2	TRRUST;TFactS_CollecTRI;NTNUcuration_CollecTRI2;CollecTRI;ExTRI_CollecTRI;ExTRI2_CollecTRI2;TFactS_DoRothEA;TfactS_CollecTRI2;DoRothEA-A_CollecTRI2;NTNU.Curated_CollecTRI;CollecTRI2;TRRUST_DoRothEA;DoRothEA;ARACNe-GTEx_DoRothEA;TRRUST_CollecTRI2;TRRD_DoRothEA;TRRUST_CollecTRI
GATA1	CEBPA	TRRUST;SIGNOR_CollecTRI;CollecTRI;ExTRI2_CollecTRI2;CollecTRI2;TRRUST_DoRothEA;DoRothEA;SIGNOR_CollecTRI2;TRRUST_CollecTRI2;TRRUST_CollecTRI
GATA1	EPOR	TRRUST;TFactS_CollecTRI;NTNUcuration_CollecTRI2;CollecTRI;ExTRI_CollecTRI;ExTRI2_CollecTRI2;TfactS_CollecTRI2;NTNU.Curated_CollecTRI;CollecTRI2;TRRUST_DoRothEA;GEREDB_CollecTRI;DoRothEA;GEREDB_CollecTRI2;TRRUST_CollecTRI2;TRRUST_CollecTRI
GATA1	GATA2	SIGNOR_CollecTRI;NTNUcuration_CollecTRI2;SIGNOR_CollecTRI2;CollecTRI;ExTRI_CollecTRI;ExTRI2_CollecTRI2;TfactS_CollecTRI2;SIGNOR;NTNU.Curated_CollecTRI;CollecTRI2;GEREDB_CollecTRI;GEREDB_CollecTRI2
